,Geographic Area Name,State,Total Population,Population per square kilometer (Population Density),Population 65 Years and Over,Percent of Population that is 65 Years and Over,Percentage of people whose income in the past 12 months is below the poverty level
0,Autauga County,Alabama,55200,35.8534189940189,8050,14.6,15.4
1,Baldwin County,Alabama,208107,50.5415035640023,40665,19.5,10.6
2,Barbour County,Alabama,25782,11.247981205619,4634,18.0,28.9
3,Bibb County,Alabama,22527,13.9731140005546,3661,16.3,14.0
4,Blount County,Alabama,57645,34.5158164233531,10233,17.8,14.4
5,Bullock County,Alabama,10352,6.41761954967603,1616,15.6,31.4
6,Butler County,Alabama,20025,9.95277078503475,3806,19.0,23.5
7,Calhoun County,Alabama,115098,73.3486880019654,19386,16.8,18.6
8,Chambers County,Alabama,33826,21.8926380821564,6409,18.9,16.6
9,Cherokee County,Alabama,25853,18.0333282957246,5621,21.7,15.0
10,Chilton County,Alabama,43930,24.4806693894376,6927,15.8,18.6
11,Choctaw County,Alabama,13075,5.52650860439243,2884,22.1,22.2
12,Clarke County,Alabama,24387,7.60313165232808,4626,19.0,25.4
13,Clay County,Alabama,13378,8.55233134503563,2652,19.8,18.4
14,Cleburne County,Alabama,14938,10.2973539136845,2803,18.8,18.5
15,Coffee County,Alabama,51288,29.1646729138119,8375,16.3,15.1
16,Colbert County,Alabama,54495,35.4969499814872,10502,19.3,16.3
17,Conecuh County,Alabama,12514,5.68299517064302,2707,21.6,22.2
18,Coosa County,Alabama,10855,6.43888528179168,2368,21.8,14.0
19,Covington County,Alabama,37351,13.9937034591157,7650,20.5,18.3
20,Crenshaw County,Alabama,13865,8.79227330633629,2542,18.3,15.7
21,Cullman County,Alabama,82313,43.252675634723,14803,18.0,15.8
22,Dale County,Alabama,49255,33.893125488288,7939,16.1,18.4
23,Dallas County,Alabama,40029,15.7910333786488,6705,16.8,31.1
24,DeKalb County,Alabama,71200,35.3757798349071,11619,16.3,22.1
25,Elmore County,Alabama,81212,50.7014402097701,11770,14.5,12.3
26,Escambia County,Alabama,37328,15.2476489811671,6476,17.3,24.0
27,Etowah County,Alabama,102939,74.2505481228132,18877,18.3,17.3
28,Fayette County,Alabama,16585,10.201801349626,3392,20.5,20.0
29,Franklin County,Alabama,31542,19.2113561545785,5100,16.2,20.2
30,Geneva County,Alabama,26491,17.8043158513833,5152,19.4,24.0
31,Greene County,Alabama,8426,5.02810013073651,1716,20.4,38.7
32,Hale County,Alabama,14887,8.92555700068266,2717,18.3,26.0
33,Henry County,Alabama,17124,11.7696657362901,3696,21.6,13.5
34,Houston County,Alabama,104352,69.4820926648789,17615,16.9,18.3
35,Jackson County,Alabama,52094,18.6584828351285,9972,19.1,20.2
36,Jefferson County,Alabama,659892,229.251338127605,99146,15.0,17.0
37,Lamar County,Alabama,13933,8.89409702789082,2938,21.1,21.2
38,Lauderdale County,Alabama,92585,53.5128223620641,17876,19.3,15.2
39,Lawrence County,Alabama,33171,18.5430504610001,5787,17.4,16.8
40,Lee County,Alabama,159287,101.227864438246,17739,11.1,21.4
41,Limestone County,Alabama,93052,64.1614968844402,13723,14.7,13.7
42,Lowndes County,Alabama,10236,5.52043597931141,1828,17.9,27.9
43,Macon County,Alabama,19054,12.0835405513515,3542,18.6,25.8
44,Madison County,Alabama,357560,172.227500046414,51308,14.3,13.2
45,Marengo County,Alabama,19538,7.72210160787143,3690,18.9,21.8
46,Marion County,Alabama,29965,15.5852067273234,6219,20.8,17.5
47,Marshall County,Alabama,95145,64.921822989232,15941,16.8,21.7
48,Mobile County,Alabama,414659,130.229928949949,63650,15.3,19.3
49,Monroe County,Alabama,21512,8.09796562551444,4060,18.9,30.9
50,Montgomery County,Alabama,226941,111.578217285862,32183,14.2,20.7
51,Morgan County,Alabama,119122,79.3822306638455,19865,16.7,15.3
52,Perry County,Alabama,9486,5.08932713103056,1764,18.6,41.8
53,Pickens County,Alabama,20298,8.89134644415793,3729,18.4,23.5
54,Pike County,Alabama,33403,19.1899851374734,4886,14.6,26.6
55,Randolph County,Alabama,22574,15.013142302193,4512,20.0,17.7
56,Russell County,Alabama,58213,35.05587425982,7776,13.4,20.1
57,St. Clair County,Alabama,87306,53.3705840032232,13891,15.9,13.2
58,Shelby County,Alabama,211261,103.859038845622,30125,14.3,8.4
59,Sumter County,Alabama,12985,5.5470144040799,2198,16.9,31.3
60,Talladega County,Alabama,80565,42.219157364741,13757,17.1,19.9
61,Tallapoosa County,Alabama,40636,21.8969584604702,8274,20.4,20.3
62,Tuscaloosa County,Alabama,206213,60.2784113409828,25685,12.5,17.4
63,Walker County,Alabama,64493,31.480176797023,12024,18.6,19.7
64,Washington County,Alabama,16643,5.94877180648605,3038,18.3,21.0
65,Wilcox County,Alabama,10809,4.69736954024345,1985,18.4,31.1
66,Winston County,Alabama,23875,15.038338282957,5027,21.1,16.2
67,Aleutians East Borough,Alaska,3425,0.18931798413723,302,8.8,15.4
68,Aleutians West Census Area,Alaska,5750,0.505471803211635,334,5.8,8.5
69,Anchorage Municipality,Alaska,296112,67.0002918813575,29492,10.0,9.2
70,Bethel Census Area,Alaska,18040,0.171435928666343,1284,7.1,27.8
71,Bristol Bay Borough,Alaska,890,0.712955928457052,85,9.6,5.8
72,Denali Borough,Alaska,2232,0.0681951983542993,162,7.3,16.9
73,Dillingham Census Area,Alaska,4975,0.104785321760152,430,8.6,17.2
74,Fairbanks North Star Borough,Alaska,99653,5.24949098254823,9124,9.2,8.1
75,Haines Borough,Alaska,2518,0.415544893969977,614,24.4,9.0
76,Hoonah-Angoon Census Area,Alaska,2132,0.125547899224925,415,19.5,9.7
77,Juneau City and Borough,Alaska,32330,4.61661018835993,3877,12.0,7.9
78,Kenai Peninsula Borough,Alaska,58220,1.40288530686126,9092,15.6,12.0
79,Ketchikan Gateway Borough,Alaska,13804,1.0973632644438,1950,14.1,10.5
80,Kodiak Island Borough,Alaska,13649,0.796616253836105,1248,9.1,9.3
81,Kusilvak Census Area,Alaska,8198,0.185386083250832,456,5.6,40.5
82,Lake and Peninsula Borough,Alaska,1375,0.0222154125511112,109,7.9,15.9
83,Matanuska-Susitna Borough,Alaska,103464,1.61641230138181,11030,10.7,10.3
84,Nome Census Area,Alaska,9925,0.166814790483156,742,7.5,23.1
85,North Slope Borough,Alaska,9797,0.0425856311115024,627,6.4,9.3
86,Northwest Arctic Borough,Alaska,7734,0.0837655920658693,596,7.7,25.1
87,Petersburg Borough,Alaska,3255,0.433274537534888,701,21.5,8.2
88,Prince of Wales-Hyder Census Area,Alaska,6474,0.474963699740084,960,14.8,15.2
89,Sitka City and Borough,Alaska,8738,1.17552014159081,1268,14.5,7.5
90,Skagway Municipality,Alaska,1061,0.944050024664486,120,11.3,5.3
91,Southeast Fairbanks Census Area,Alaska,6876,0.106951726969006,886,12.9,10.8
92,Valdez-Cordova Census Area,Alaska,9301,0.104936772956997,1152,12.4,8.1
93,Wrangell City and Borough,Alaska,2484,0.375226755408205,548,22.1,7.8
94,Yakutat City and Borough,Alaska,689,0.0348963251396459,85,12.3,6.7
95,Yukon-Koyukuk Census Area,Alaska,5415,0.0143620751775343,739,13.6,25.1
96,Apache County,Arizona,71522,2.4661635471983,10420,14.6,35.3
97,Cochise County,Arizona,126279,7.9091600308276,26550,21.0,17.2
98,Coconino County,Arizona,140217,2.9077305777695,16259,11.6,18.9
99,Gila County,Arizona,53400,4.33330667751936,14783,27.7,22.5
100,Graham County,Arizona,37879,3.16377107795328,5012,13.2,21.3
101,Greenlee County,Arizona,9504,1.99216003069318,1155,12.2,11.9
102,La Paz County,Arizona,20701,1.77630223819669,7847,37.9,22.1
103,Maricopa County,Arizona,4253913,178.541173990963,615277,14.5,14.7
104,Mohave County,Arizona,206064,5.97711349615256,59337,28.8,17.5
105,Navajo County,Arizona,108705,4.21826164424761,18351,16.9,28.5
106,Pima County,Arizona,1019722,42.8548311026477,190252,18.7,17.8
107,Pinal County,Arizona,419721,30.2012780665733,80907,19.3,14.2
108,Santa Cruz County,Arizona,46584,14.5410811200168,7891,16.9,24.0
109,Yavapai County,Arizona,224645,10.677147061634,66850,29.8,14.0
110,Yuma County,Arizona,207829,14.5527021726827,37429,18.0,20.1
111,Arkansas County,Arkansas,18124,7.07723545354986,3342,18.4,20.0
112,Ashley County,Arkansas,20537,8.56899957694753,3980,19.4,20.2
113,Baxter County,Arkansas,41219,28.7152710674774,12650,30.7,14.0
114,Benton County,Arkansas,258980,117.977455778265,33925,13.1,9.9
115,Boone County,Arkansas,37288,24.4020453612755,7491,20.1,14.9
116,Bradley County,Arkansas,10948,6.51079736886142,2014,18.4,23.2
117,Calhoun County,Arkansas,5202,3.19537992240791,1082,20.8,15.6
118,Carroll County,Arkansas,27887,17.0918030867579,6102,21.9,15.0
119,Chicot County,Arkansas,10826,6.48720533961788,2112,19.5,29.2
120,Clark County,Arkansas,22385,9.97935794884845,3593,16.1,19.8
121,Clay County,Arkansas,15061,9.09362902300879,3139,20.8,22.6
122,Cleburne County,Arkansas,25230,17.5920794960845,6697,26.5,14.6
123,Cleveland County,Arkansas,8226,5.31308376264506,1650,20.1,19.4
124,Columbia County,Arkansas,23892,12.0430090148183,4035,16.9,25.2
125,Conway County,Arkansas,20906,14.6161703137298,3931,18.8,18.2
126,Craighead County,Arkansas,105701,57.7012397731579,14104,13.3,18.4
127,Crawford County,Arkansas,62472,40.7996871120115,10068,16.1,15.9
128,Crittenden County,Arkansas,49013,31.0060680601584,6495,13.3,22.2
129,Cross County,Arkansas,16998,10.6475618813098,3052,18.0,16.7
130,Dallas County,Arkansas,7432,4.2996258215917,1580,21.3,14.3
131,Desha County,Arkansas,11887,5.97498329534256,2156,18.1,29.1
132,Drew County,Arkansas,18502,8.62389556526047,3091,16.7,21.4
133,Faulkner County,Arkansas,122416,72.9467914658334,14488,11.8,16.8
134,Franklin County,Arkansas,17780,11.2751845642444,3361,18.9,21.9
135,Fulton County,Arkansas,12139,7.58160811844068,3071,25.3,23.9
136,Garland County,Arkansas,98296,55.9998517852055,22442,22.8,18.6
137,Grant County,Arkansas,18086,11.0524158192483,3116,17.2,14.5
138,Greene County,Arkansas,44623,29.8241054091558,6946,15.6,16.3
139,Hempstead County,Arkansas,22018,11.6851730245058,3873,17.6,24.3
140,Hot Spring County,Arkansas,33520,21.0370307484283,6148,18.3,17.6
141,Howard County,Arkansas,13389,8.78324092031978,2338,17.5,19.2
142,Independence County,Arkansas,37264,18.8332181709132,6398,17.2,17.3
143,Izard County,Arkansas,13559,9.01718938852684,3380,24.9,17.1
144,Jackson County,Arkansas,17225,10.4911935334858,2985,17.3,23.3
145,Jefferson County,Arkansas,70424,31.2545147992963,11468,16.3,23.2
146,Johnson County,Arkansas,26291,15.3829203617191,4209,16.0,22.4
147,Lafayette County,Arkansas,6915,5.05379689323219,1578,22.8,22.2
148,Lawrence County,Arkansas,16669,10.9528948256261,3206,19.2,17.7
149,Lee County,Arkansas,9398,6.02134153344286,1731,18.4,26.0
150,Lincoln County,Arkansas,13695,9.41600591939292,2002,14.6,18.6
151,Little River County,Arkansas,12417,9.0075425884187,2535,20.4,15.8
152,Logan County,Arkansas,21757,11.8629638442172,4184,19.2,21.1
153,Lonoke County,Arkansas,72206,36.1639717692876,9272,12.8,12.2
154,Madison County,Arkansas,16076,7.44015438511027,2962,18.4,16.8
155,Marion County,Arkansas,16438,10.6318471099612,4496,27.4,20.6
156,Miller County,Arkansas,43759,27.0012527090477,7000,16.0,21.2
157,Mississippi County,Arkansas,42831,18.3628578105964,6028,14.1,25.8
158,Monroe County,Arkansas,7249,4.60991267149704,1626,22.4,28.1
159,Montgomery County,Arkansas,8993,4.45236901326667,2393,26.6,18.9
160,Nevada County,Arkansas,8440,5.27436382601417,1680,19.9,27.7
161,Newton County,Arkansas,7848,3.69118925414889,1929,24.6,14.2
162,Ouachita County,Arkansas,24106,12.7014153173494,4602,19.1,24.1
163,Perry County,Arkansas,10322,7.22554351013243,1957,19.0,17.0
164,Phillips County,Arkansas,19034,10.564647735084,3346,17.6,33.2
165,Pike County,Arkansas,10808,6.94773718149417,2177,20.1,16.6
166,Poinsett County,Arkansas,24054,12.2465242873351,4198,17.5,21.8
167,Polk County,Arkansas,20163,9.07677870323286,4471,22.2,24.5
168,Pope County,Arkansas,63644,30.2430486280975,9589,15.1,18.5
169,Prairie County,Arkansas,8244,4.91293433526316,1890,22.9,15.7
170,Pulaski County,Arkansas,393463,200.176589143304,56988,14.5,17.0
171,Randolph County,Arkansas,17603,10.4205924256624,3482,19.8,18.3
172,St. Francis County,Arkansas,26294,15.992627689366,3984,15.2,26.6
173,Saline County,Arkansas,118009,62.9724850422285,20250,17.2,8.5
174,Scott County,Arkansas,10442,4.51826611649416,2077,19.9,22.1
175,Searcy County,Arkansas,7923,4.59257233092457,1961,24.8,21.1
176,Sebastian County,Arkansas,127461,92.5238426086721,19388,15.2,20.3
177,Sevier County,Arkansas,17193,11.7464133536446,2424,14.1,21.0
178,Sharp County,Arkansas,17043,10.8868904747869,4379,25.7,21.6
179,Stone County,Arkansas,12446,7.92446396870105,3283,26.4,22.5
180,Union County,Arkansas,39732,14.7617220923788,6727,16.9,20.1
181,Van Buren County,Arkansas,16684,9.07626814122767,4223,25.3,18.8
182,Washington County,Arkansas,228529,93.666958051026,25435,11.1,16.8
183,White County,Arkansas,78804,29.3951316053397,12425,15.8,17.0
184,Woodruff County,Arkansas,6660,4.38237679654509,1483,22.3,25.0
185,Yell County,Arkansas,21573,8.9549984466795,3663,17.0,16.3
186,Alameda County,California,1643700,860.757074949889,215917,13.1,10.6
187,Alpine County,California,1146,0.599280665532869,293,25.6,19.8
188,Amador County,California,37829,24.5653452622911,9952,26.3,9.7
189,Butte County,California,227075,53.5751590644998,40219,17.7,20.1
190,Calaveras County,California,45235,17.1226058066131,12214,27.0,11.7
191,Colusa County,California,21464,7.20188011858262,2966,13.8,13.8
192,Contra Costa County,California,1133247,610.18029042211,169782,15.0,9.1
193,Del Norte County,California,27424,10.5229311101377,4585,16.7,22.5
194,El Dorado County,California,186661,42.1995800073241,36751,19.7,8.9
195,Fresno County,California,978130,63.385677357634,114438,11.7,24.1
196,Glenn County,California,27897,8.19738055888046,4300,15.4,18.8
197,Humboldt County,California,135768,14.691077966102,22647,16.7,20.3
198,Imperial County,California,180216,16.6599907311579,22446,12.5,24.2
199,Inyo County,California,18085,0.685856010703446,4148,22.9,10.2
200,Kern County,California,883053,41.9254523115261,92005,10.4,22.0
201,Kings County,California,150075,41.6772679528691,14567,9.7,20.8
202,Lake County,California,64148,19.7113764136146,13941,21.7,21.0
203,Lassen County,California,31185,2.65142146128389,4157,13.3,13.8
204,Los Angeles County,California,10098052,960.742777931457,1299277,12.9,16.0
205,Madera County,California,155013,28.0078977064307,20797,13.4,20.8
206,Marin County,California,260295,193.100506119398,54625,21.0,7.6
207,Mariposa County,California,17540,4.67425188076992,4690,26.7,14.0
208,Mendocino County,California,87422,9.62646104875624,17845,20.4,18.5
209,Merced County,California,269075,53.6722217568114,29320,10.9,22.7
210,Modoc County,California,8938,0.881376108971028,2293,25.7,16.6
211,Mono County,California,14174,1.79489551715331,2030,14.3,10.4
212,Monterey County,California,433212,50.96841445171,55515,12.8,14.1
213,Napa County,California,140530,72.5086277243729,25360,18.0,8.1
214,Nevada County,California,99092,39.9469911989279,25177,25.4,11.4
215,Orange County,California,3164182,1541.02666980495,440488,13.9,11.5
216,Placer County,California,380077,104.292831368025,71099,18.7,8.0
217,Plumas County,California,18699,2.82786846414243,4988,26.7,11.7
218,Riverside County,California,2383286,127.688110556421,328609,13.8,14.7
219,Sacramento County,California,1510023,603.890619071814,202207,13.4,15.8
220,San Benito County,California,59416,16.5200880730115,7194,12.1,9.2
221,San Bernardino County,California,2135413,41.1012855543107,233343,10.9,17.3
222,San Diego County,California,3302833,302.994150305114,439595,13.3,12.5
223,San Francisco County,California,870044,7168.19047136798,131438,15.1,10.9
224,San Joaquin County,California,732212,203.038981826007,89461,12.2,15.9
225,San Luis Obispo County,California,281455,32.9240586038183,52758,18.7,13.3
226,San Mateo County,California,765935,659.174654397823,117867,15.4,7.0
227,Santa Barbara County,California,443738,62.6396741228866,64775,14.6,14.8
228,Santa Clara County,California,1922200,574.838369914046,246908,12.8,7.9
