,Hospital Name,Hospital Type,City,County,State,# of Licensed Beds,# of Staffed Beds,# of ICU Beds,# of Adult ICU Beds,# of Pediatric ICU Beds,Bed Utilization Rate,Potential Increase in Bed Capacity,Average Ventilator Usage
29,Grove Hill Memorial Hospital,Short Term Acute Care Hospital,Grove Hill,Clarke,Alabama,50.0,21.0,4,4,0.0,0.3127201,29,1.0
30,Jackson Medical Center,Short Term Acute Care Hospital,Jackson,Clarke,Alabama,35.0,35.0,6,6,0.0,0.2668493,0,1.0
31,Clay County Hospital,Short Term Acute Care Hospital,Ashland,Clay,Alabama,45.0,46.0,4,4,0.0,0.2806433,-1,2.0
32,Medical Center Enterprise,Short Term Acute Care Hospital,Enterprise,Coffee,Alabama,131.0,99.0,7,7,0.0,0.2380518,32,2.0
33,Shoals Hospital,Short Term Acute Care Hospital,Muscle Shoals,Colbert,Alabama,198.0,122.0,10,10,0.0,0.1223445,76,2.0
34,Evergreen Medical Center,Short Term Acute Care Hospital,Evergreen,Conecuh,Alabama,58.0,44.0,8,8,0.0,0.2938356,14,0.0
35,Andalusia Regional Hospital (AKA Andalusia Health),Short Term Acute Care Hospital,Andalusia,Covington,Alabama,88.0,83.0,8,8,0.0,0.3337184,5,2.0
36,Mizell Memorial Hospital,Short Term Acute Care Hospital,Opp,Covington,Alabama,99.0,45.0,5,5,0.0,0.3063014,54,2.0
37,Crenshaw Community Hospital,Short Term Acute Care Hospital,Luverne,Crenshaw,Alabama,65.0,29.0,5,5,0.0,0.1260274,36,2.0
38,Cullman Regional Medical Center,Short Term Acute Care Hospital,Cullman,Cullman,Alabama,145.0,145.0,12,12,0.0,0.5081719,0,5.0
39,Dale Medical Center,Short Term Acute Care Hospital,Ozark,Dale,Alabama,89.0,77.0,6,6,0.0,0.2649351,12,2.0
40,Vaughan Regional Medical Center,Short Term Acute Care Hospital,Selma,Dallas,Alabama,175.0,109.0,23,23,0.0,0.4045997,66,2.0
41,Dekalb Regional Medical Center,Short Term Acute Care Hospital,Fort Payne,DeKalb,Alabama,134.0,97.0,12,12,0.0,0.2922186,37,3.0
42,Community Hospital,Short Term Acute Care Hospital,Tallassee,Elmore,Alabama,69.0,37.0,5,5,0.0,0.2938912,32,2.0
43,Elmore Community Hospital,Short Term Acute Care Hospital,Wetumpka,Elmore,Alabama,69.0,33.0,6,6,0.0,0.298049,36,1.0
44,DW McMillan Memorial Hospital,Short Term Acute Care Hospital,Brewton,Escambia,Alabama,91.0,46.0,8,8,0.0,0.3348422,45,2.0
45,Atmore Community Hospital,Short Term Acute Care Hospital,Atmore,Escambia,Alabama,51.0,49.0,6,6,0.0,0.3566117,2,2.0
46,Gadsden Regional Medical Center,Short Term Acute Care Hospital,Gadsden,Etowah,Alabama,346.0,222.0,40,40,0.0,0.7343577,124,8.0
47,Riverview Regional Medical Center,Short Term Acute Care Hospital,Gadsden,Etowah,Alabama,281.0,256.0,45,45,0.0,0.2634739,25,6.0
48,Fayette Medical Center (FKA Weimer Medical Center),Short Term Acute Care Hospital,Fayette,Fayette,Alabama,61.0,45.0,8,8,0.0,0.2337291,16,2.0
49,Russellville Hospital,Short Term Acute Care Hospital,Russellville,Franklin,Alabama,100.0,49.0,7,7,0.0,0.3978194,51,2.0
50,Red Bay Hospital,Critical Access Hospital,Red Bay,Franklin,Alabama,25.0,25.0,4,4,0.0,0.2664109,0,1.0
51,Wiregrass Medical Center,Short Term Acute Care Hospital,Geneva,Geneva,Alabama,83.0,73.0,6,6,0.0,0.1314318,10,2.0
52,Greene County Hospital,Short Term Acute Care Hospital,Eutaw,Greene,Alabama,20.0,20.0,4,4,0.0,0.2416438,0,0.0
53,Hale County Hospital,Short Term Acute Care Hospital,Greensboro,Hale,Alabama,39.0,28.0,5,5,0.0,0.2608611,11,0.0
54,Flowers Hospital,Short Term Acute Care Hospital,Dothan,Houston,Alabama,235.0,235.0,26,26,6.0,0.6349519,0,8.0
55,Southeast Health (FKA Southeast Alabama Medical Center),Short Term Acute Care Hospital,Dothan,Houston,Alabama,420.0,342.0,40,40,16.0,0.7707282,78,8.0
56,Highlands Medical Center,Short Term Acute Care Hospital,Scottsboro,Jackson,Alabama,170.0,92.0,10,10,0.0,0.628269,78,2.0
57,St Vincents Birmingham,Short Term Acute Care Hospital,Birmingham,Jefferson,Alabama,409.0,400.0,83,83,30.0,0.673963,9,13.0
58,Princeton Baptist Medical Center,Short Term Acute Care Hospital,Birmingham,Jefferson,Alabama,505.0,279.0,33,33,12.0,0.6852654,226,9.0
59,Grandview Medical Center (FKA Trinity Medical Center),Short Term Acute Care Hospital,Birmingham,Jefferson,Alabama,402.0,373.0,72,72,12.0,0.7930465,29,8.0
60,St Vincents East (FKA Medical Center East),Short Term Acute Care Hospital,Birmingham,Jefferson,Alabama,362.0,309.0,44,44,0.0,0.7319767,53,12.0
61,UAB Callahan Eye Hospital,Short Term Acute Care Hospital,Birmingham,Jefferson,Alabama,106.0,12.0,2,2,0.0,0.05913242,94,0.0
62,Helen Keller Hospital,Short Term Acute Care Hospital,Sheffield,Colbert,Alabama,185.0,178.0,12,12,0.0,0.3892258,7,4.0
63,UAB Hospital,Short Term Acute Care Hospital,Birmingham,Jefferson,Alabama,1157.0,1100.0,85,85,106.0,0.8154819,57,29.0
64,Medical West Hospital,Short Term Acute Care Hospital,Bessemer,Jefferson,Alabama,310.0,187.0,21,21,0.0,0.4570215,123,3.0
65,Birmingham VA Medical Center,VA Hospital,Birmingham,Jefferson,Alabama,313.0,129.0,0,0,,,184,0.0
66,Brookwood Baptist Medical Center (FKA Brookwood Medical Center),Short Term Acute Care Hospital,Birmingham,Jefferson,Alabama,595.0,425.0,26,26,32.0,0.4436744,170,8.0
67,North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital),Short Term Acute Care Hospital,Florence,Lauderdale,Alabama,263.0,233.0,36,36,0.0,0.5574446,30,6.0
68,Lawrence Medical Center,Short Term Acute Care Hospital,Moulton,Lawrence,Alabama,98.0,43.0,6,6,0.0,0.1513221,55,2.0
69,East Alabama Medical Center - Opelika,Short Term Acute Care Hospital,Opelika,Lee,Alabama,314.0,299.0,20,20,0.0,0.6881019,15,10.0
70,Athens-Limestone Hospital,Short Term Acute Care Hospital,Athens,Limestone,Alabama,71.0,66.0,10,10,0.0,0.5184309,5,3.0
71,Huntsville Hospital,Short Term Acute Care Hospital,Huntsville,Madison,Alabama,881.0,877.0,67,67,46.0,0.7150685,4,21.0
72,Crestwood Medical Center,Short Term Acute Care Hospital,Huntsville,Madison,Alabama,180.0,183.0,16,16,3.0,0.5764803,-3,3.0
73,Bryan W Whitfield Memorial Hospital,Short Term Acute Care Hospital,Demopolis,Marengo,Alabama,99.0,37.0,5,5,0.0,0.3664569,62,2.0
74,Northwest Medical Center,Short Term Acute Care Hospital,Winfield,Marion,Alabama,71.0,61.0,4,4,0.0,0.1553559,10,2.0
75,North Mississippi Medical Center - Hamilton,Short Term Acute Care Hospital,Hamilton,Marion,Alabama,49.0,36.0,4,4,0.0,0.2384323,13,1.0
76,Marshall Medical Center South,Short Term Acute Care Hospital,Boaz,Marshall,Alabama,150.0,150.0,20,20,0.0,0.4351195,0,7.0
77,USA Health University Hospital (FKA University of South Alabama Medical Center),Short Term Acute Care Hospital,Mobile,Mobile,Alabama,406.0,183.0,32,32,0.0,0.8714724,223,4.0
78,Providence Hospital,Short Term Acute Care Hospital,Mobile,Mobile,Alabama,349.0,349.0,33,33,0.0,0.5495152,0,8.0
79,Mobile Infirmary,Short Term Acute Care Hospital,Mobile,Mobile,Alabama,669.0,611.0,38,38,0.0,0.650037,58,11.0
80,Springhill Medical Center,Short Term Acute Care Hospital,Mobile,Mobile,Alabama,263.0,198.0,20,20,0.0,0.7743601,65,5.0
81,USA Childrens & Womens Hospital,Childrens Hospital,Mobile,Mobile,Alabama,152.0,101.0,118,118,118.0,0.627342,51,1.0
82,Monroe County Hospital,Short Term Acute Care Hospital,Monroeville,Monroe,Alabama,94.0,49.0,8,8,0.0,0.1164663,45,2.0
83,Baptist Medical Center East,Short Term Acute Care Hospital,Montgomery,Montgomery,Alabama,150.0,150.0,12,12,25.0,0.6089894,0,2.0
84,Central Alabama Veterans Health Care System - West Campus,VA Hospital,Montgomery,Montgomery,Alabama,143.0,143.0,1,1,,,0,1.0
85,Baptist Medical Center South,Short Term Acute Care Hospital,Montgomery,Montgomery,Alabama,432.0,320.0,26,26,40.0,0.7098045,112,8.0
86,Jackson Hospital,Short Term Acute Care Hospital,Montgomery,Montgomery,Alabama,344.0,270.0,34,34,0.0,0.7248605,74,5.0
87,Decatur Morgan Hospital - Decatur Campus (FKA Decatur General Hospital),Short Term Acute Care Hospital,Decatur,Morgan,Alabama,273.0,222.0,23,23,0.0,0.498951,51,3.0
88,Troy Regional Medical Center,Short Term Acute Care Hospital,Troy,Pike,Alabama,97.0,97.0,9,9,0.0,0.1839571,0,2.0
89,Jack Hughston Memorial Hospital,Short Term Acute Care Hospital,Phenix City,Russell,Alabama,70.0,47.0,8,8,0.0,0.3893326,23,2.0
90,St Vincents St Clair,Short Term Acute Care Hospital,Pell City,St. Clair,Alabama,40.0,40.0,6,6,0.0,0.5863699,0,2.0
91,Shelby Baptist Medical Center,Short Term Acute Care Hospital,Alabaster,Shelby,Alabama,252.0,212.0,32,32,0.0,0.5424141,40,6.0
92,Hill Hospital of Sumter County,Short Term Acute Care Hospital,York,Sumter,Alabama,33.0,33.0,6,6,0.0,0.4533001,0,0.0
93,Coosa Valley Medical Center,Short Term Acute Care Hospital,Sylacauga,Talladega,Alabama,168.0,122.0,8,8,0.0,0.2595104,46,2.0
94,Citizens Baptist Medical Center,Short Term Acute Care Hospital,Talladega,Talladega,Alabama,122.0,85.0,6,6,0.0,0.2067419,37,2.0
95,Lake Martin Community Hospital,Short Term Acute Care Hospital,Dadeville,Tallapoosa,Alabama,46.0,46.0,8,8,0.0,0.09499702,0,0.0
96,Russell Medical Center,Short Term Acute Care Hospital,Alexander City,Tallapoosa,Alabama,81.0,34.0,6,6,0.0,0.4604608,47,2.0
97,DCH Regional Medical Center,Short Term Acute Care Hospital,Tuscaloosa,Tuscaloosa,Alabama,583.0,524.0,52,52,51.0,0.7311095,59,31.0
98,Tuscaloosa VA Medical Center,VA Hospital,Tuscaloosa,Tuscaloosa,Alabama,96.0,96.0,0,0,,,0,0.0
99,Walker Baptist Medical Center,Short Term Acute Care Hospital,Jasper,Walker,Alabama,267.0,207.0,12,12,0.0,0.2874859,60,4.0
100,Washington County Hospital,Critical Access Hospital,Chatom,Washington,Alabama,25.0,15.0,3,3,0.0,0.4317808,10,1.0
101,J Paul Jones Hospital,Short Term Acute Care Hospital,Camden,Wilcox,Alabama,30.0,21.0,4,4,0.0,0.06575342,9,0.0
102,Lakeland Community Hospital,Short Term Acute Care Hospital,Haleyville,Winston,Alabama,49.0,49.0,4,4,0.0,0.2830305,0,2.0
103,Providence Alaska Medical Center,Short Term Acute Care Hospital,Anchorage,Anchorage,Alaska,401.0,391.0,46,46,66.0,0.740093,10,11.0
104,Alaska Regional Hospital,Short Term Acute Care Hospital,Anchorage,Anchorage,Alaska,250.0,164.0,14,14,10.0,0.5651687,86,4.0
105,Alaska Native Medical Center,Short Term Acute Care Hospital,Anchorage,Anchorage,Alaska,150.0,174.0,30,30,0.0,0.6080512,-24,4.0
106,Yukon-Kuskokwim Delta Regional Hospital,Short Term Acute Care Hospital,Bethel,Bethel,Alaska,50.0,34.0,6,6,0.0,0.3999194,16,1.0
107,Maine VA Medical Center (AKA Togus VA Medical Center),VA Hospital,Augusta,Kennebec,Maine,167.0,167.0,2,2,,,0,2.0
108,Fairbanks Memorial Hospital,Short Term Acute Care Hospital,Fairbanks,Fairbanks North Star,Alaska,152.0,122.0,13,13,0.0,0.3954637,30,2.0
109,Bartlett Regional Hospital,Short Term Acute Care Hospital,Juneau,Juneau,Alaska,73.0,45.0,9,9,0.0,0.3659665,28,2.0
110,Central Peninsula General Hospital,Short Term Acute Care Hospital,Soldotna,Kenai Peninsula,Alaska,49.0,49.0,6,6,0.0,0.6328208,0,2.0
111,Providence Seward Medical & Care Center,Critical Access Hospital,Seward,Kenai Peninsula,Alaska,6.0,6.0,1,1,0.0,0.2100457,0,0.0
112,South Peninsula Hospital,Critical Access Hospital,Homer,Kenai Peninsula,Alaska,22.0,21.0,4,4,0.0,0.375212,1,1.0
113,PeaceHealth Ketchikan Medical Center,Critical Access Hospital,Ketchikan,Ketchikan Gateway,Alaska,25.0,25.0,4,4,0.0,0.3824657,0,2.0
114,VA Maryland Health Care System - Baltimore VA Medical Center,VA Hospital,Baltimore,Baltimore City,Maryland,100.0,100.0,2,2,,,0,2.0
115,Providence Kodiak Island Medical Center,Critical Access Hospital,Kodiak,Kodiak Island,Alaska,25.0,24.0,4,4,0.0,0.2001142,1,2.0
116,Mat-Su Regional Medical Center,Short Term Acute Care Hospital,Palmer,Matanuska-Susitna,Alaska,125.0,74.0,14,14,0.0,0.6692706,51,3.0
117,Norton Sound Regional Hospital,Critical Access Hospital,Nome,Nome,Alaska,18.0,18.0,3,3,0.0,0.4016743,0,1.0
118,Mt Edgecumbe Hospital,Critical Access Hospital,Sitka,Sitka,Alaska,25.0,27.0,4,4,0.0,0.3386098,-2,1.0
119,Wrangell Medical Center,Critical Access Hospital,Wrangell,Wrangell,Alaska,8.0,8.0,1,1,0.0,0.2875683,0,0.0
120,VA Central Western Massachusetts Healthcare System - Northampton VA Medical Center (AKA Edward P Boland Department of Veterans Affairs Medical Center),VA Hospital,Leeds,Hampshire,Massachusetts,145.0,145.0,0,0,,,0,0.0
121,Edith Nourse Rogers Memorial Veterans Hospital,VA Hospital,Bedford,Middlesex,Massachusetts,65.0,65.0,1,1,,,0,1.0
122,Fort Defiance Indian Hospital,Short Term Acute Care Hospital,Fort Defiance,Apache,Arizona,56.0,56.0,10,10,0.0,0.4688356,0,1.0
123,Chinle Comprehensive Health Care Facility,Short Term Acute Care Hospital,Chinle,Apache,Arizona,60.0,60.0,11,11,0.0,0.2163014,0,1.0
124,Sage Memorial Hospital,Critical Access Hospital,Ganado,Apache,Arizona,25.0,25.0,4,4,0.0,0.1042192,0,1.0
125,White Mountain Regional Medical Center,Critical Access Hospital,Springerville,Apache,Arizona,21.0,21.0,4,4,0.0,0.2371047,0,2.0
126,Copper Queen Community Hospital,Critical Access Hospital,Bisbee,Cochise,Arizona,14.0,14.0,2,2,0.0,0.2972603,0,2.0
127,Benson Hospital,Critical Access Hospital,Benson,Cochise,Arizona,22.0,22.0,4,4,0.0,0.1828144,0,0.0
128,Northern Cochise Community Hospital,Critical Access Hospital,Willcox,Cochise,Arizona,24.0,24.0,4,4,0.0,0.09086758,0,0.0
129,Canyon Vista Medical Center (FKA Sierra Vista Regional Health Center),Short Term Acute Care Hospital,Sierra Vista,Cochise,Arizona,100.0,75.0,12,12,0.0,0.4769681,25,4.0
130,Flagstaff Medical Center,Short Term Acute Care Hospital,Flagstaff,Coconino,Arizona,264.0,242.0,41,41,18.0,0.5749689,22,7.0
131,Page Hospital,Critical Access Hospital,Page,Coconino,Arizona,25.0,25.0,4,4,0.0,0.100274,0,1.0
132,Tuba City Regional Health Care,Short Term Acute Care Hospital,Tuba City,Coconino,Arizona,73.0,73.0,13,13,0.0,0.3970351,0,2.0
133,San Carlos Apache Healthcare (FKA PHS Indian Hospital - San Carlos),Short Term Acute Care Hospital,Peridot,Graham,Arizona,127.0,8.0,1,1,0.0,0.4010274,119,0.0
134,Cobre Valley Regional Medical Center,Critical Access Hospital,Globe,Gila,Arizona,25.0,25.0,4,4,0.0,0.5605479,0,2.0
135,Banner Payson Medical Center (AKA Payson Regional Medical Center),Critical Access Hospital,Payson,Gila,Arizona,25.0,25.0,4,4,0.0,0.3920988,0,2.0
136,Mt Graham Regional Medical Center,Short Term Acute Care Hospital,Safford,Graham,Arizona,49.0,49.0,9,9,0.0,0.2078278,0,2.0
137,La Paz Regional Hospital,Critical Access Hospital,Parker,La Paz,Arizona,25.0,25.0,3,3,0.0,0.3566027,0,2.0
138,Banner Desert Medical Center,Short Term Acute Care Hospital,Mesa,Maricopa,Arizona,595.0,615.0,51,51,86.0,0.7086981,-20,20.0
139,Banner Boswell Medical Center,Short Term Acute Care Hospital,Sun City,Maricopa,Arizona,434.0,410.0,85,85,0.0,0.5187619,24,9.0
140,St Josephs Hospital and Medical Center,Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,586.0,501.0,32,32,72.0,0.8007218,85,29.0
141,Abrazo Central Campus (FKA Phoenix Baptist Hospital),Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,206.0,144.0,28,28,0.0,0.6105835,62,6.0
142,Chandler Regional Medical Center,Short Term Acute Care Hospital,Chandler,Maricopa,Arizona,338.0,96.0,49,49,12.0,0.7866107,242,19.0
143,HonorHealth Scottsdale Osborn Medical Center,Short Term Acute Care Hospital,Scottsdale,Maricopa,Arizona,341.0,337.0,59,59,0.0,0.4996481,4,8.0
144,Valleywise Health Medical Center (FKA Maricopa Medical Center),Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,758.0,323.0,52,52,60.0,0.490895,435,10.0
145,HonorHealth John C Lincoln Medical Center (FKA John C Lincoln North Mountain Hospital),Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,262.0,262.0,20,20,0.0,0.5890515,0,8.0
146,Valleywise Behavioral Health Center - Maryvale (FKA MIHS Maryvale Hospital),Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,228.0,228.0,16,16,0.0,0.1820906,0,3.0
147,Banner - University Medical Center Phoenix (FKA Banner Good Samaritan Medical Center),Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,766.0,622.0,46,46,0.0,0.7284148,144,26.0
148,Phoenix Indian Medical Center,Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,133.0,133.0,23,23,0.0,0.1567206,0,2.0
149,Abrazo Scottsdale Campus (FKA Paradise Valley Hospital),Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,136.0,120.0,14,14,0.0,0.435274,16,4.0
150,HonorHealth Scottsdale Shea Medical Center,Short Term Acute Care Hospital,Scottsdale,Maricopa,Arizona,427.0,427.0,25,25,24.0,0.5267918,0,6.0
151,Banner Baywood Medical Center,Short Term Acute Care Hospital,Mesa,Maricopa,Arizona,359.0,318.0,26,26,0.0,0.5879986,41,10.0
152,Banner Thunderbird Medical Center,Short Term Acute Care Hospital,Glendale,Maricopa,Arizona,555.0,499.0,40,40,0.0,0.6006039,56,13.0
153,HonorHealth Deer Valley Medical Center,Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,204.0,204.0,36,36,0.0,0.7141016,0,7.0
154,Banner Del E Webb Medical Center,Short Term Acute Care Hospital,Sun City West,Maricopa,Arizona,394.0,314.0,34,34,0.0,0.5229561,80,7.0
155,Abrazo Arrowhead Campus (FKA Arrowhead Hospital),Short Term Acute Care Hospital,Glendale,Maricopa,Arizona,217.0,217.0,38,38,0.0,0.5997804,0,9.0
156,Mayo Clinic Hospital - Arizona,Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,292.0,266.0,30,30,0.0,0.7764651,26,13.0
157,Banner Heart Hospital,Short Term Acute Care Hospital,Mesa,Maricopa,Arizona,111.0,111.0,19,19,0.0,0.4888807,0,4.0
158,Arizona Spine & Joint Hospital,Short Term Acute Care Hospital,Mesa,Maricopa,Arizona,23.0,23.0,4,4,0.0,0.2458606,0,0.0
159,CORE Institute Specialty Hospital (FKA the Surgical Hospital of Phoenix),Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,32.0,32.0,6,6,0.0,0.2124144,0,2.0
160,Abrazo West Campus (FKA West Valley Hospital),Short Term Acute Care Hospital,Goodyear,Maricopa,Arizona,200.0,179.0,20,20,0.0,0.743629,21,9.0
161,Wickenburg Community Hospital,Critical Access Hospital,Wickenburg,Maricopa,Arizona,19.0,19.0,3,3,0.0,0.1578947,0,2.0
162,Dignity Health Arizona Specialty Hospital (FKA Arizona Orthopedic Surgical Hospital),Short Term Acute Care Hospital,Chandler,Maricopa,Arizona,24.0,24.0,4,4,0.0,0.2297945,0,0.0
163,Banner Estrella Medical Center,Short Term Acute Care Hospital,Phoenix,Maricopa,Arizona,317.0,317.0,24,24,0.0,0.6079599,0,6.0
164,Mercy Gilbert Medical Center,Short Term Acute Care Hospital,Gilbert,Maricopa,Arizona,197.0,198.0,24,24,0.0,0.7121074,-1,8.0
165,Mountain Vista Medical Center,Short Term Acute Care Hospital,Mesa,Maricopa,Arizona,178.0,142.0,30,30,0.0,0.4594829,36,5.0
166,Banner Gateway Medical Center,Short Term Acute Care Hospital,Gilbert,Maricopa,Arizona,177.0,165.0,24,24,0.0,0.8031216,12,3.0
167,HonorHealth Scottsdale Thompson Peak Medical Center,Short Term Acute Care Hospital,Scottsdale,Maricopa,Arizona,120.0,120.0,8,8,0.0,0.5254794,0,3.0
168,Phoenix Childrens Hospital,Childrens Hospital,Phoenix,Maricopa,Arizona,435.0,433.0,81,81,81.0,0.5267361,2,6.0
169,Valley View Medical Center,Short Term Acute Care Hospital,Fort Mohave,Mohave,Arizona,84.0,72.0,12,12,0.0,0.2578006,12,3.0
170,Western Arizona Regional Medical Center,Short Term Acute Care Hospital,Bullhead City,Mohave,Arizona,139.0,139.0,32,32,0.0,0.4098748,0,7.0
171,Havasu Regional Medical Center,Short Term Acute Care Hospital,Lake Havasu City,Mohave,Arizona,152.0,144.0,16,16,0.0,0.4634894,8,5.0
172,Kingman Regional Medical Center,Short Term Acute Care Hospital,Kingman,Mohave,Arizona,235.0,196.0,20,20,0.0,0.4543752,39,5.0
173,Summit Healthcare Regional Medical Center,Short Term Acute Care Hospital,Show Low,Navajo,Arizona,101.0,89.0,12,12,0.0,0.4291827,12,3.0
174,Hopi Health Care Center,Critical Access Hospital,Polacca,Navajo,Arizona,6.0,6.0,1,1,0.0,0.2383562,0,0.0
175,Whiteriver Indian Hospital,Short Term Acute Care Hospital,Whiteriver,Navajo,Arizona,40.0,40.0,7,7,0.0,0.2580137,0,0.0
176,Little Colorado Medical Center,Critical Access Hospital,Winslow,Navajo,Arizona,25.0,25.0,4,4,0.0,0.3243836,0,2.0
177,Oro Valley Hospital,Short Term Acute Care Hospital,Oro Valley,Pima,Arizona,146.0,111.0,36,36,0.0,0.4118475,35,2.0
178,Sells Indian Hospital,Short Term Acute Care Hospital,Sells,Pima,Arizona,14.0,14.0,2,2,0.0,0.1919765,0,1.0
179,Northwest Medical Center,Short Term Acute Care Hospital,Tucson,Pima,Arizona,300.0,281.0,35,35,15.0,0.5236874,19,6.0
180,Banner - University Medical Center South (FKA University of Arizona Medical Center - South Campus),Short Term Acute Care Hospital,Tucson,Pima,Arizona,245.0,132.0,12,12,0.0,0.6975127,113,4.0
181,Banner - University Medical Center Tucson (FKA University of Arizona Medical Center),Short Term Acute Care Hospital,Tucson,Pima,Arizona,625.0,479.0,90,90,60.0,0.7316048,146,18.0
182,Tucson Medical Center (AKA TMC HealthCare),Short Term Acute Care Hospital,Tucson,Pima,Arizona,596.0,441.0,36,36,54.0,0.8418041,155,10.0
183,St Marys Hospital,Short Term Acute Care Hospital,Tucson,Pima,Arizona,400.0,349.0,49,49,0.0,0.3515563,51,4.0
184,St Joseph Hospital,Short Term Acute Care Hospital,Tucson,Pima,Arizona,486.0,451.0,32,32,30.0,0.3413662,35,6.0
185,Banner Casa Grande Medical Center,Short Term Acute Care Hospital,Casa Grande,Pinal,Arizona,141.0,141.0,22,22,0.0,0.4147868,0,4.0
